Donor_ID,Cell_Type,LV_Batch,MOI,Enhancer,Replicate,Percent_GFP_Positive,Cell_Viability_Post_Transduction,Vector_Copy_Number_per_Cell
D1,Primary Human HSPCs,LV_A,5,None,1,26.07,85.96,0.29
D1,Primary Human HSPCs,LV_A,5,None,2,32.83,83.49,0.36
D1,Primary Human HSPCs,LV_A,5,Polybrene,1,37.02,88.51,0.64
D1,Primary Human HSPCs,LV_A,5,Polybrene,2,42.44,85.34,0.69
D1,Primary Human HSPCs,LV_A,5,Vpx-LP,1,40.36,87.98,0.52
D1,Primary Human HSPCs,LV_A,5,Vpx-LP,2,45.17,84.18,0.86
D1,Primary Human HSPCs,LV_A,10,None,1,41.13,83.15,0.85
D1,Primary Human HSPCs,LV_A,10,None,2,36.3,80.57,0.75
D1,Primary Human HSPCs,LV_A,10,Polybrene,1,45.86,82.39,1.22
D1,Primary Human HSPCs,LV_A,10,Polybrene,2,52.56,80.81,1.25
D1,Primary Human HSPCs,LV_A,10,Vpx-LP,1,55.18,83.23,1.56
D1,Primary Human HSPCs,LV_A,10,Vpx-LP,2,52.87,82.53,1.24
D1,Primary Human HSPCs,LV_A,20,None,1,63.4,72.92,2.62
D1,Primary Human HSPCs,LV_A,20,None,2,56.85,72.11,2.35
D1,Primary Human HSPCs,LV_A,20,Polybrene,1,65.9,75.3,2.7
D1,Primary Human HSPCs,LV_A,20,Polybrene,2,67.29,71.17,2.8
D1,Primary Human HSPCs,LV_A,20,Vpx-LP,1,73.45,73.62,3
D1,Primary Human HSPCs,LV_A,20,Vpx-LP,2,73.57,72.54,3.16
D1,Primary Human HSPCs,LV_B,5,None,1,26.35,88.36,0.63
D1,Primary Human HSPCs,LV_B,5,None,2,34.99,83.82,0.77
D1,Primary Human HSPCs,LV_B,5,Polybrene,1,38.55,86.75,0.58
D1,Primary Human HSPCs,LV_B,5,Polybrene,2,36.88,85.68,0.52
D1,Primary Human HSPCs,LV_B,5,Vpx-LP,1,43.19,86.39,0.56
D1,Primary Human HSPCs,LV_B,5,Vpx-LP,2,41.07,86.72,0.63
D1,Primary Human HSPCs,LV_B,10,None,1,40.86,82.17,0.86
D1,Primary Human HSPCs,LV_B,10,None,2,35.39,80.5,1.01
D1,Primary Human HSPCs,LV_B,10,Polybrene,1,47.88,79.98,1.08
D1,Primary Human HSPCs,LV_B,10,Polybrene,2,49.63,81.89,1.42
D1,Primary Human HSPCs,LV_B,10,Vpx-LP,1,51.75,79.94,1.08
D1,Primary Human HSPCs,LV_B,10,Vpx-LP,2,52.17,82.08,1.53
D1,Primary Human HSPCs,LV_B,20,None,1,63.61,73.85,2.96
D1,Primary Human HSPCs,LV_B,20,None,2,58.92,75.64,2.82
D1,Primary Human HSPCs,LV_B,20,Polybrene,1,70.8,72.62,2.99
D1,Primary Human HSPCs,LV_B,20,Polybrene,2,65.3,76.26,2.92
D1,Primary Human HSPCs,LV_B,20,Vpx-LP,1,76.77,72.75,3.2
D1,Primary Human HSPCs,LV_B,20,Vpx-LP,2,71.28,72.16,2.9
D2,Primary Human HSPCs,LV_A,5,None,1,33.67,86.07,0.72
D2,Primary Human HSPCs,LV_A,5,None,2,25.67,85.74,0.68
D2,Primary Human HSPCs,LV_A,5,Polybrene,1,35.28,85.49,0.77
D2,Primary Human HSPCs,LV_A,5,Polybrene,2,41.41,85.77,0.59
D2,Primary Human HSPCs,LV_A,5,Vpx-LP,1,46.4,87.67,0.88
D2,Primary Human HSPCs,LV_A,5,Vpx-LP,2,45.26,86.42,0.87
D2,Primary Human HSPCs,LV_A,10,None,1,39.33,82.05,0.87
D2,Primary Human HSPCs,LV_A,10,None,2,41.45,84.92,1.05
D2,Primary Human HSPCs,LV_A,10,Polybrene,1,50.09,82.25,1.15
D2,Primary Human HSPCs,LV_A,10,Polybrene,2,51.12,82.82,1.12
D2,Primary Human HSPCs,LV_A,10,Vpx-LP,1,55.01,83.66,1.3
D2,Primary Human HSPCs,LV_A,10,Vpx-LP,2,54.75,83.24,1.46
D2,Primary Human HSPCs,LV_A,20,None,1,60.04,71.73,2.52
D2,Primary Human HSPCs,LV_A,20,None,2,62.98,73.86,2.78
D2,Primary Human HSPCs,LV_A,20,Polybrene,1,67.02,76.77,2.73
D2,Primary Human HSPCs,LV_A,20,Polybrene,2,66.02,72.95,2.68
D2,Primary Human HSPCs,LV_A,20,Vpx-LP,1,73.25,71.8,3.17
D2,Primary Human HSPCs,LV_A,20,Vpx-LP,2,78.61,71.66,3.33
D2,Primary Human HSPCs,LV_B,5,None,1,28.23,83.64,0.5
D2,Primary Human HSPCs,LV_B,5,None,2,27.36,85.43,0.64
D2,Primary Human HSPCs,LV_B,5,Polybrene,1,42.69,88.98,0.43
D2,Primary Human HSPCs,LV_B,5,Polybrene,2,40.31,83.84,0.9
D2,Primary Human HSPCs,LV_B,5,Vpx-LP,1,49.54,88.99,0.78
D2,Primary Human HSPCs,LV_B,5,Vpx-LP,2,42.83,88.4,0.87
D2,Primary Human HSPCs,LV_B,10,None,1,41.63,80.47,0.88
D2,Primary Human HSPCs,LV_B,10,None,2,42.1,80.24,0.99
D2,Primary Human HSPCs,LV_B,10,Polybrene,1,51.52,81.82,1.51
D2,Primary Human HSPCs,LV_B,10,Polybrene,2,47.79,79.15,1.43
